sentence_id,sentence,number,num_digits,colour,size,template_id
1,a red number 7049 of large size,7049,4,red,large,3
2,the number 334 in purple colour and large size,334,3,purple,large,2
3,a medium blue number 342,342,3,blue,medium,5
4,the number 2 in green colour and small size,2,1,green,small,2
5,a blue number 14 of large size,14,2,blue,large,3
6,the number 3 in yellow colour and large size,3,1,yellow,large,2
7,the number 6952 in blue colour and small size,6952,4,blue,small,2
8,a large 9 in yellow colour,9,1,yellow,large,4
9,a large 2 in pink colour,2,1,pink,large,4
10,a grey number 8 of large size,8,1,grey,large,3
11,the number 101 in yellow colour and large size,101,3,yellow,large,2
12,a brown number 779 of medium size,779,3,brown,medium,3
13,the number 56 in yellow colour and small size,56,2,yellow,small,2
14,a red number 84 of medium size,84,2,red,medium,3
15,a medium yellow 13,13,2,yellow,medium,1
16,an orange number 8102 of large size,8102,4,orange,large,3
17,a small yellow 2,2,1,yellow,small,1
18,a large blue number 887,887,3,blue,large,5
19,a medium blue 5,5,1,blue,medium,1
20,a small 1039 in brown colour,1039,4,brown,small,4
21,a medium 1 in blue colour,1,1,blue,medium,4
22,a medium grey 8,8,1,grey,medium,1
23,the number 736 in yellow colour and medium size,736,3,yellow,medium,2
24,the number 6670 in green colour and large size,6670,4,green,large,2
25,a red number 792 of large size,792,3,red,large,3
26,a grey number 30 of medium size,30,2,grey,medium,3
27,an orange number 214 of large size,214,3,orange,large,3
28,a small yellow number 536,536,3,yellow,small,5
29,a small red number 1301,1301,4,red,small,5
30,a large 6699 in yellow colour,6699,4,yellow,large,4
31,the number 1593 in red colour and large size,1593,4,red,large,2
32,a large 937 in brown colour,937,3,brown,large,4
33,a large 36 in pink colour,36,2,pink,large,4
34,a large orange 2,2,1,orange,large,1
35,a large grey 573,573,3,grey,large,1
36,a red number 3 of medium size,3,1,red,medium,3
37,a large grey 345,345,3,grey,large,1
38,the number 324 in orange colour and large size,324,3,orange,large,2
39,a small red 12,12,2,red,small,1
40,a large 40 in orange colour,40,2,orange,large,4
41,a large red 181,181,3,red,large,1
42,the number 79 in red colour and medium size,79,2,red,medium,2
43,a medium 7483 in green colour,7483,4,green,medium,4
44,a small 2040 in orange colour,2040,4,orange,small,4
45,a red number 6350 of large size,6350,4,red,large,3
46,a medium 330 in brown colour,330,3,brown,medium,4
47,a brown number 54 of small size,54,2,brown,small,3
48,the number 61 in brown colour and large size,61,2,brown,large,2
49,a large 902 in orange colour,902,3,orange,large,4
50,a small purple 9100,9100,4,purple,small,1
51,a brown number 82 of large size,82,2,brown,large,3
52,a medium blue 6776,6776,4,blue,medium,1
53,a grey number 17 of medium size,17,2,grey,medium,3
54,the number 9852 in yellow colour and small size,9852,4,yellow,small,2
55,a yellow number 92 of medium size,92,2,yellow,medium,3
56,a green number 1903 of medium size,1903,4,green,medium,3
57,a small green number 129,129,3,green,small,5
58,a large 828 in grey colour,828,3,grey,large,4
59,a grey number 8909 of small size,8909,4,grey,small,3
60,a large green 8014,8014,4,green,large,1
61,a small 882 in pink colour,882,3,pink,small,4
62,an orange number 66 of large size,66,2,orange,large,3
63,a medium 590 in orange colour,590,3,orange,medium,4
64,a pink number 5379 of medium size,5379,4,pink,medium,3
65,a medium yellow number 564,564,3,yellow,medium,5
66,a yellow number 7 of medium size,7,1,yellow,medium,3
67,a medium 2 in brown colour,2,1,brown,medium,4
68,the number 5628 in red colour and large size,5628,4,red,large,2
69,a medium green 764,764,3,green,medium,1
70,a medium pink number 6452,6452,4,pink,medium,5
71,a large 351 in green colour,351,3,green,large,4
72,a medium brown 2098,2098,4,brown,medium,1
73,a yellow number 22 of small size,22,2,yellow,small,3
74,a large brown number 8457,8457,4,brown,large,5
75,the number 163 in grey colour and large size,163,3,grey,large,2
76,a brown number 713 of medium size,713,3,brown,medium,3
77,a large 1 in brown colour,1,1,brown,large,4
78,a yellow number 5584 of small size,5584,4,yellow,small,3
79,the number 619 in grey colour and large size,619,3,grey,large,2
80,a red number 17 of large size,17,2,red,large,3
81,a large orange number 7644,7644,4,orange,large,5
82,a green number 5 of medium size,5,1,green,medium,3
83,a medium 36 in blue colour,36,2,blue,medium,4
84,a medium blue number 2,2,1,blue,medium,5
85,the number 92 in orange colour and medium size,92,2,orange,medium,2
86,a large 4 in grey colour,4,1,grey,large,4
87,a small 4 in grey colour,4,1,grey,small,4
88,a medium yellow number 547,547,3,yellow,medium,5
89,the number 19 in grey colour and medium size,19,2,grey,medium,2
90,a medium 10 in pink colour,10,2,pink,medium,4
91,the number 858 in yellow colour and small size,858,3,yellow,small,2
92,an orange number 3 of medium size,3,1,orange,medium,3
93,a blue number 6539 of small size,6539,4,blue,small,3
94,a small red 22,22,2,red,small,1
95,a medium 3 in red colour,3,1,red,medium,4
96,a medium 8307 in pink colour,8307,4,pink,medium,4
97,a large green number 27,27,2,green,large,5
98,a large orange number 120,120,3,orange,large,5
99,a medium 6404 in orange colour,6404,4,orange,medium,4
100,a medium 8175 in grey colour,8175,4,grey,medium,4
101,a small blue 9,9,1,blue,small,1
102,the number 4 in brown colour and large size,4,1,brown,large,2
103,a red number 2608 of large size,2608,4,red,large,3
104,a large red 4,4,1,red,large,1
105,a purple number 26 of small size,26,2,purple,small,3
106,the number 3 in brown colour and medium size,3,1,brown,medium,2
107,a small 1644 in grey colour,1644,4,grey,small,4
108,a small green 95,95,2,green,small,1
109,a small orange 330,330,3,orange,small,1
110,a small yellow 8,8,1,yellow,small,1
111,the number 288 in brown colour and medium size,288,3,brown,medium,2
112,a blue number 4 of large size,4,1,blue,large,3
113,a large purple 240,240,3,purple,large,1
114,a medium purple 3,3,1,purple,medium,1
115,a brown number 6844 of large size,6844,4,brown,large,3
116,a large yellow number 4550,4550,4,yellow,large,5
117,a small brown 9,9,1,brown,small,1
