sentence_id,template_id,sentence,board_state,x_count,x_positions,o_count,o_positions
1,3,"X occupies the top-center, the center, and the bottom-left, O occupies the middle-right and bottom-center",_|X|_|_|X|O|X|O|_,3,"top-center, center, bottom-left",2,"middle-right, bottom-center"
2,2,"X has played in the top-right and bottom-right, O has played in the middle-right and bottom-left",_|_|X|_|_|O|O|_|X,2,"top-right, bottom-right",2,"middle-right, bottom-left"
3,5,"X marks the bottom-left, the bottom-right, the middle-right, and the top-left, O marks the middle-left, the top-center, and the center",X|O|_|O|O|X|X|_|X,4,"bottom-left, bottom-right, middle-right, top-left",3,"middle-left, top-center, center"
4,4,"X is placed in the center, the top-right, the middle-left, and the bottom-left, O is placed in the top-left, the middle-right, the top-center, and the bottom-right",O|O|X|X|X|O|X|_|O,4,"center, top-right, middle-left, bottom-left",4,"top-left, middle-right, top-center, bottom-right"
5,4,"X is placed in the top-left, the bottom-right, and the top-right, O is placed in the center and bottom-left",X|_|X|_|O|_|O|_|X,3,"top-left, bottom-right, top-right",2,"center, bottom-left"
6,4,"X is placed in the middle-right, the top-left, the bottom-right, the bottom-center, and the top-right, O is placed in the center, the middle-left, the bottom-left, and the top-center",X|O|X|O|O|X|O|X|X,5,"middle-right, top-left, bottom-right, bottom-center, top-right",4,"center, middle-left, bottom-left, top-center"
7,3,"X occupies the top-center, the center, the bottom-center, the bottom-right, and the middle-left, O occupies the top-right, the bottom-left, the middle-right, and the top-left",O|X|O|X|X|O|O|X|X,5,"top-center, center, bottom-center, bottom-right, middle-left",4,"top-right, bottom-left, middle-right, top-left"
8,5,"X marks the top-center and center, O marks the middle-right",_|X|_|_|X|O|_|_|_,2,"top-center, center",1,middle-right
9,1,"X is in the top-left, O is in none",X|_|_|_|_|_|_|_|_,1,top-left,0,
10,2,"X has played in the middle-right and center, O has played in the middle-left and bottom-center",_|_|_|O|X|X|_|O|_,2,"middle-right, center",2,"middle-left, bottom-center"
11,4,"X is placed in the bottom-right and top-left, O is placed in the bottom-center and top-right",X|_|O|_|_|_|_|O|X,2,"bottom-right, top-left",2,"bottom-center, top-right"
12,4,"X is placed in the bottom-center, the center, and the bottom-left, O is placed in the middle-right and bottom-right",_|_|_|_|X|O|X|X|O,3,"bottom-center, center, bottom-left",2,"middle-right, bottom-right"
13,2,"X has played in the center, the top-center, the bottom-right, the top-left, and the top-right, O has played in the bottom-left, the middle-left, the bottom-center, and the middle-right",X|X|X|O|X|O|O|O|X,5,"center, top-center, bottom-right, top-left, top-right",4,"bottom-left, middle-left, bottom-center, middle-right"
14,5,"X marks the middle-right, O marks the top-left",O|_|_|_|_|X|_|_|_,1,middle-right,1,top-left
15,1,"X is in the bottom-right, O is in the top-right",_|_|O|_|_|_|_|_|X,1,bottom-right,1,top-right
