sentence_id,sentence,obj1_shape,obj1_colour,obj1_size,relation,obj2_shape,obj2_colour,obj2_size,template_id
1,there is a large orange pentagon above a small orange square,pentagon,orange,large,above,square,orange,small,2
2,a small brown cylinder is positioned below a large purple cube,cylinder,brown,small,below,cube,purple,large,6
3,one medium brown cylinder is above one medium blue triangle,cylinder,brown,medium,above,triangle,blue,medium,3
4,a large grey oval is positioned below a small orange triangle,oval,grey,large,below,triangle,orange,small,6
5,a red rectangle is below a brown rectangle,rectangle,red,small,below,rectangle,brown,small,4
6,a small hexagon is to the right of a large pentagon,hexagon,blue,small,to the right of,pentagon,yellow,large,5
7,there is a medium blue cube inside a small purple square,cube,blue,medium,inside,square,purple,small,2
8,a small pentagon is to the left of a medium pentagon,pentagon,yellow,small,to the left of,pentagon,grey,medium,5
9,a green oval is below a green hexagon,oval,green,large,below,hexagon,green,large,4
10,a purple oval is to the right of a blue square,oval,purple,large,to the right of,square,blue,small,4
11,one large green hexagon is next to one large yellow cylinder,hexagon,green,large,next to,cylinder,yellow,large,3
12,a medium triangle is next to a large pentagon,triangle,red,medium,next to,pentagon,grey,large,5
13,a small triangle is to the left of a large hexagon,triangle,green,small,to the left of,hexagon,blue,large,5
14,one medium pink cylinder is inside one large pink triangle,cylinder,pink,medium,inside,triangle,pink,large,3
15,a small sphere is above a large cylinder,sphere,pink,small,above,cylinder,blue,large,5
16,a small grey triangle is to the left of a medium green cube,triangle,grey,small,to the left of,cube,green,medium,1
17,a large red cylinder is positioned below a small grey sphere,cylinder,red,large,below,sphere,grey,small,6
18,a large triangle is next to a large square,triangle,orange,large,next to,square,grey,large,5
19,a medium green oval is positioned to the right of a large blue cylinder,oval,green,medium,to the right of,cylinder,blue,large,6
20,a grey sphere is below a yellow cylinder,sphere,grey,medium,below,cylinder,yellow,medium,4
21,one large brown hexagon is to the right of one small green hexagon,hexagon,brown,large,to the right of,hexagon,green,small,3
22,a green oval is below a yellow sphere,oval,green,small,below,sphere,yellow,medium,4
23,one large pink pentagon is below one medium grey sphere,pentagon,pink,large,below,sphere,grey,medium,3
24,there is a medium yellow rectangle to the left of a medium red sphere,rectangle,yellow,medium,to the left of,sphere,red,medium,2
25,there is a medium pink triangle to the right of a large brown cube,triangle,pink,medium,to the right of,cube,brown,large,2
26,a blue oval is below a blue circle,oval,blue,medium,below,circle,blue,large,4
27,one large grey hexagon is below one small orange pentagon,hexagon,grey,large,below,pentagon,orange,small,3
28,a blue pentagon is below a yellow circle,pentagon,blue,medium,below,circle,yellow,small,4
