sentence_id,sentence,obj1_shape,obj1_colour,obj1_size,relation,obj2_shape,obj2_colour,obj2_size,template_id
1,a large square is above a small triangle,square,red,large,above,triangle,red,small,5
2,there is a small pink hexagon inside a large grey rectangle,hexagon,pink,small,inside,rectangle,grey,large,2
3,a medium red rectangle is below a medium brown square,rectangle,red,medium,below,square,brown,medium,1
4,an orange triangle is above an orange diamond,triangle,orange,small,above,diamond,orange,large,4
5,a small orange hexagon is to the right of a small brown pentagon,hexagon,orange,small,to the right of,pentagon,brown,small,1
6,a large diamond is to the left of a large oval,diamond,blue,large,to the left of,oval,purple,large,5
7,a small brown square is positioned inside a medium orange pentagon,square,brown,small,inside,pentagon,orange,medium,6
8,there is a small blue circle to the left of a large red circle,circle,blue,small,to the left of,circle,red,large,2
9,one large blue oval is next to one large purple diamond,oval,blue,large,next to,diamond,purple,large,3
10,a small green rectangle is next to a small blue diamond,rectangle,green,small,next to,diamond,blue,small,1
11,there is a small orange circle above a small brown hexagon,circle,orange,small,above,hexagon,brown,small,2
12,a small yellow oval is to the right of a small orange pentagon,oval,yellow,small,to the right of,pentagon,orange,small,1
13,a medium pink rectangle is to the right of a large yellow triangle,rectangle,pink,medium,to the right of,triangle,yellow,large,1
14,a small hexagon is to the right of a large oval,hexagon,blue,small,to the right of,oval,yellow,large,5
15,a medium green rectangle is positioned next to a medium yellow triangle,rectangle,green,medium,next to,triangle,yellow,medium,6
16,a small rectangle is above a large triangle,rectangle,blue,small,above,triangle,blue,large,5
17,a red diamond is above a red hexagon,diamond,red,small,above,hexagon,red,small,4
18,a medium pentagon is above a medium diamond,pentagon,grey,medium,above,diamond,grey,medium,5
19,a medium rectangle is to the left of a medium rectangle,rectangle,grey,medium,to the left of,rectangle,red,medium,5
20,one medium brown hexagon is to the right of one large grey oval,hexagon,brown,medium,to the right of,oval,grey,large,3
21,a large rectangle is next to a large square,rectangle,brown,large,next to,square,grey,large,5
22,a medium brown oval is inside a large red circle,oval,brown,medium,inside,circle,red,large,1
23,a large triangle is to the right of a small circle,triangle,grey,large,to the right of,circle,yellow,small,5
24,there is a medium grey square inside a large red diamond,square,grey,medium,inside,diamond,red,large,2
25,a medium pink rectangle is positioned below a large brown hexagon,rectangle,pink,medium,below,hexagon,brown,large,6
26,a medium hexagon is to the left of a large diamond,hexagon,brown,medium,to the left of,diamond,yellow,large,5
27,a small pink oval is below a medium pink oval,oval,pink,small,below,oval,pink,medium,1
28,a yellow oval is to the right of an orange rectangle,oval,yellow,small,to the right of,rectangle,orange,large,4
29,a yellow square is inside a blue circle,square,yellow,small,inside,circle,blue,medium,4
30,a purple rectangle is to the left of a yellow triangle,rectangle,purple,medium,to the left of,triangle,yellow,large,4
31,a small green rectangle is below a medium grey triangle,rectangle,green,small,below,triangle,grey,medium,1
32,there is a small blue rectangle to the right of a large yellow pentagon,rectangle,blue,small,to the right of,pentagon,yellow,large,2
33,there is a medium yellow pentagon inside a large green pentagon,pentagon,yellow,medium,inside,pentagon,green,large,2
34,a large brown circle is positioned above a small grey oval,circle,brown,large,above,oval,grey,small,6
35,a large purple square is next to a small blue square,square,purple,large,next to,square,blue,small,1
36,one medium grey rectangle is inside one large grey rectangle,rectangle,grey,medium,inside,rectangle,grey,large,3
37,one small orange oval is inside one large pink diamond,oval,orange,small,inside,diamond,pink,large,3
38,a medium diamond is next to a large rectangle,diamond,yellow,medium,next to,rectangle,grey,large,5
39,a large orange diamond is next to a large green pentagon,diamond,orange,large,next to,pentagon,green,large,1
40,a medium square is to the left of a small circle,square,red,medium,to the left of,circle,brown,small,5
41,there is a large green pentagon above a medium grey pentagon,pentagon,green,large,above,pentagon,grey,medium,2
42,a medium hexagon is next to a medium square,hexagon,red,medium,next to,square,blue,medium,5
43,a small green diamond is positioned next to a large purple square,diamond,green,small,next to,square,purple,large,6
44,a medium diamond is next to a small rectangle,diamond,brown,medium,next to,rectangle,orange,small,5
45,a grey rectangle is inside a red pentagon,rectangle,grey,medium,inside,pentagon,red,large,4
46,one small blue circle is above one large red oval,circle,blue,small,above,oval,red,large,3
47,an orange square is inside a blue diamond,square,orange,medium,inside,diamond,blue,large,4
48,there is a large red square next to a small grey oval,square,red,large,next to,oval,grey,small,2
49,a small orange oval is positioned next to a large brown square,oval,orange,small,next to,square,brown,large,6
50,one large orange circle is to the right of one small green oval,circle,orange,large,to the right of,oval,green,small,3
51,there is a small brown diamond next to a medium pink oval,diamond,brown,small,next to,oval,pink,medium,2
52,there is a medium purple oval below a medium grey oval,oval,purple,medium,below,oval,grey,medium,2
53,a purple pentagon is to the left of a blue rectangle,pentagon,purple,medium,to the left of,rectangle,blue,medium,4
54,a pink rectangle is above an orange hexagon,rectangle,pink,small,above,hexagon,orange,medium,4
55,there is a small red rectangle below a small grey pentagon,rectangle,red,small,below,pentagon,grey,small,2
56,a grey oval is inside a red pentagon,oval,grey,medium,inside,pentagon,red,large,4
57,there is a large yellow circle above a large red diamond,circle,yellow,large,above,diamond,red,large,2
58,a green oval is inside a brown square,oval,green,small,inside,square,brown,large,4
59,a small pink circle is next to a medium grey pentagon,circle,pink,small,next to,pentagon,grey,medium,1
60,a large yellow pentagon is to the left of a small yellow rectangle,pentagon,yellow,large,to the left of,rectangle,yellow,small,1
61,one large purple square is to the left of one medium grey triangle,square,purple,large,to the left of,triangle,grey,medium,3
62,a large pink square is below a large pink pentagon,square,pink,large,below,pentagon,pink,large,1
63,an orange oval is next to a green circle,oval,orange,small,next to,circle,green,large,4
64,a brown square is to the left of a purple circle,square,brown,medium,to the left of,circle,purple,large,4
65,there is a large brown oval above a small red pentagon,oval,brown,large,above,pentagon,red,small,2
66,a medium rectangle is below a small hexagon,rectangle,orange,medium,below,hexagon,orange,small,5
67,a medium red rectangle is above a large orange hexagon,rectangle,red,medium,above,hexagon,orange,large,1
68,a small grey oval is positioned above a small blue hexagon,oval,grey,small,above,hexagon,blue,small,6
69,a large pink circle is below a small brown pentagon,circle,pink,large,below,pentagon,brown,small,1
70,a large red hexagon is positioned to the left of a small orange square,hexagon,red,large,to the left of,square,orange,small,6
71,a yellow hexagon is to the right of a pink pentagon,hexagon,yellow,medium,to the right of,pentagon,pink,medium,4
72,a medium orange pentagon is positioned to the right of a medium pink square,pentagon,orange,medium,to the right of,square,pink,medium,6
73,one large red rectangle is to the right of one large purple circle,rectangle,red,large,to the right of,circle,purple,large,3
74,a small orange diamond is positioned below a large pink pentagon,diamond,orange,small,below,pentagon,pink,large,6
75,one medium blue oval is inside one large red diamond,oval,blue,medium,inside,diamond,red,large,3
76,a small pentagon is next to a small pentagon,pentagon,purple,small,next to,pentagon,brown,small,5
77,a large rectangle is above a medium circle,rectangle,red,large,above,circle,purple,medium,5
78,a medium orange triangle is to the right of a medium blue circle,triangle,orange,medium,to the right of,circle,blue,medium,1
79,a green square is next to a grey triangle,square,green,small,next to,triangle,grey,medium,4
80,a medium pink square is positioned below a medium grey oval,square,pink,medium,below,oval,grey,medium,6
81,a large pink circle is positioned to the right of a medium green hexagon,circle,pink,large,to the right of,hexagon,green,medium,6
82,a small hexagon is next to a medium hexagon,hexagon,pink,small,next to,hexagon,pink,medium,5
83,a brown square is inside a grey rectangle,square,brown,medium,inside,rectangle,grey,large,4
84,one small purple hexagon is to the left of one large purple square,hexagon,purple,small,to the left of,square,purple,large,3
85,a small green rectangle is inside a medium blue circle,rectangle,green,small,inside,circle,blue,medium,1
86,there is a large grey triangle below a large green circle,triangle,grey,large,below,circle,green,large,2
87,a medium pink diamond is inside a large blue pentagon,diamond,pink,medium,inside,pentagon,blue,large,1
88,a large orange rectangle is to the left of a large pink pentagon,rectangle,orange,large,to the left of,pentagon,pink,large,1
89,one small blue hexagon is to the left of one small red hexagon,hexagon,blue,small,to the left of,hexagon,red,small,3
90,a large hexagon is next to a medium rectangle,hexagon,yellow,large,next to,rectangle,yellow,medium,5
91,a small rectangle is next to a medium circle,rectangle,pink,small,next to,circle,purple,medium,5
92,one medium grey square is to the left of one small green rectangle,square,grey,medium,to the left of,rectangle,green,small,3
93,a small pink pentagon is positioned next to a medium pink hexagon,pentagon,pink,small,next to,hexagon,pink,medium,6
